token,count_state,count_rest,count_total,log_odds_delta,z_score,state,comparison,state_docs_n,rest_docs_n
nutrition,1,64,65,0.022336975979404983,0.1475957643428634,New Hampshire,New Hampshire_vs_rest,344,68873
incorporates,1,65,66,0.021989934398463973,0.14640785833920278,New Hampshire,New Hampshire_vs_rest,344,68873
panda,1,65,66,0.021989934398463973,0.14640785833920278,New Hampshire,New Hampshire_vs_rest,344,68873
studio,2,250,252,0.011229009467101037,0.14583080297482834,New Hampshire,New Hampshire_vs_rest,344,68873
companies,4,928,932,0.005778987194871021,0.14420407898458965,New Hampshire,New Hampshire_vs_rest,344,68873
noon,1,67,68,0.02132636415547573,0.144109684234202,New Hampshire,New Hampshire_vs_rest,344,68873
drift,1,67,68,0.02132636415547573,0.144109684234202,New Hampshire,New Hampshire_vs_rest,344,68873
broadcasting,1,67,68,0.02132636415547573,0.144109684234202,New Hampshire,New Hampshire_vs_rest,344,68873
therapeutic,1,67,68,0.02132636415547573,0.144109684234202,New Hampshire,New Hampshire_vs_rest,344,68873
academy,2,256,258,0.010953227064840476,0.14392619499131865,New Hampshire,New Hampshire_vs_rest,344,68873
officers,3,550,553,0.0074743488996986684,0.1437061404804172,New Hampshire,New Hampshire_vs_rest,344,68873
cars,2,258,260,0.010864122794153275,0.14330551026836388,New Hampshire,New Hampshire_vs_rest,344,68873
funded,1,68,69,0.021008954111877642,0.14299753901586734,New Hampshire,New Hampshire_vs_rest,344,68873
dinosaurs,1,68,69,0.021008954111877642,0.14299753901586734,New Hampshire,New Hampshire_vs_rest,344,68873
belongings,1,69,70,0.02070058169526412,0.14190884868569043,New Hampshire,New Hampshire_vs_rest,344,68873
nonprofit,1,71,72,0.020109448461118618,0.1397985711632696,New Hampshire,New Hampshire_vs_rest,344,68873
participate,2,274,276,0.01019769506114443,0.13857682141636074,New Hampshire,New Hampshire_vs_rest,344,68873
special,5,1503,1508,0.004317645417751592,0.13701260295871182,New Hampshire,New Hampshire_vs_rest,344,68873
written,5,1530,1535,0.004230304289350784,0.13543546096794457,New Hampshire,New Hampshire_vs_rest,344,68873
prevents,1,76,77,0.018765542339778563,0.13488018321609446,New Hampshire,New Hampshire_vs_rest,344,68873
informing,1,76,77,0.018765542339778563,0.13488018321609446,New Hampshire,New Hampshire_vs_rest,344,68873
baltimore,1,77,78,0.018517372484394556,0.1339525016312083,New Hampshire,New Hampshire_vs_rest,344,68873
continental,1,78,79,0.018275466156190134,0.13304210573813513,New Hampshire,New Hampshire_vs_rest,344,68873
soul,3,635,638,0.006392923260857941,0.1319993343572075,New Hampshire,New Hampshire_vs_rest,344,68873
reuse,1,80,81,0.017809518898401322,0.13127103671832088,New Hampshire,New Hampshire_vs_rest,344,68873
squad,1,80,81,0.017809518898401322,0.13127103671832088,New Hampshire,New Hampshire_vs_rest,344,68873
consult,1,82,83,0.017365961349337766,0.12956293324841794,New Hampshire,New Hampshire_vs_rest,344,68873
welcome,3,662,665,0.006107201241562166,0.12873435860183707,New Hampshire,New Hampshire_vs_rest,344,68873
reddit,1,83,84,0.017152080374163603,0.12873132256560285,New Hampshire,New Hampshire_vs_rest,344,68873
lincoln,1,84,85,0.01694321752503214,0.12791408667832843,New Hampshire,New Hampshire_vs_rest,344,68873
creators,1,85,86,0.01673919824052028,0.12711080853581372,New Hampshire,New Hampshire_vs_rest,344,68873
pedro,1,85,86,0.01673919824052028,0.12711080853581372,New Hampshire,New Hampshire_vs_rest,344,68873
presentation,2,325,327,0.008508043031225654,0.12581050943873454,New Hampshire,New Hampshire_vs_rest,344,68873
fourth,2,327,329,0.008452440413536877,0.12536879687052638,New Hampshire,New Hampshire_vs_rest,344,68873
ending,2,332,334,0.008316342873518678,0.12428115452085312,New Hampshire,New Hampshire_vs_rest,344,68873
tick,1,90,91,0.015786181341795213,0.12329031579693145,New Hampshire,New Hampshire_vs_rest,344,68873
arrested,1,90,91,0.015786181341795213,0.12329031579693145,New Hampshire,New Hampshire_vs_rest,344,68873
red,7,3135,3142,0.00268855734479434,0.12311698767682809,New Hampshire,New Hampshire_vs_rest,344,68873
presently,1,91,92,0.015607975764410753,0.12256290895922656,New Hampshire,New Hampshire_vs_rest,344,68873
past,5,1788,1793,0.003528274963164435,0.1220699186048666,New Hampshire,New Hampshire_vs_rest,344,68873
niche,1,92,93,0.015433592538252938,0.12184696598623641,New Hampshire,New Hampshire_vs_rest,344,68873
guess,3,730,733,0.005480772541615053,0.12128029210010867,New Hampshire,New Hampshire_vs_rest,344,68873
chance,3,735,738,0.005439263136588934,0.12077074307813458,New Hampshire,New Hampshire_vs_rest,344,68873
nico,1,95,96,0.014932185485317717,0.11976493494082853,New Hampshire,New Hampshire_vs_rest,344,68873
begin,4,1256,1260,0.004106199569536173,0.11910308441782165,New Hampshire,New Hampshire_vs_rest,344,68873
score,3,755,758,0.005278696257528637,0.11877997652760613,New Hampshire,New Hampshire_vs_rest,344,68873
umbrella,1,97,98,0.014614926387398697,0.11842894760167497,New Hampshire,New Hampshire_vs_rest,344,68873
entertainment,2,364,366,0.007533254086075303,0.11783295938509489,New Hampshire,New Hampshire_vs_rest,344,68873
potato,1,98,99,0.014461091960656702,0.11777577651744134,New Hampshire,New Hampshire_vs_rest,344,68873
opening,3,771,774,0.005156211524841581,0.11723961101031256,New Hampshire,New Hampshire_vs_rest,344,68873
premise,1,102,103,0.013875554289503711,0.11525630739501648,New Hampshire,New Hampshire_vs_rest,344,68873
pirate,1,102,103,0.013875554289503711,0.11525630739501648,New Hampshire,New Hampshire_vs_rest,344,68873
finding,3,794,797,0.004988747382377312,0.11510171859641377,New Hampshire,New Hampshire_vs_rest,344,68873
version,4,1329,1333,0.003845813097351325,0.11473137575257261,New Hampshire,New Hampshire_vs_rest,344,68873
open,6,2665,2671,0.0027160366029264082,0.11467536817251105,New Hampshire,New Hampshire_vs_rest,344,68873
